n, mse
10, 3.0176599701708904
10, 2.574702094304862
10, 25.31830040304167
10, 7.647742761664853
10, 3.389229983511772
10, 12.798278465234041
10, 1.1494157062873114
10, 2.2278324521654036
10, 5.611062695839462
10, 7.746382094708812
10, 6.990662022030356
10, 4.504219914475742
10, 8.310472938746482
10, 1.2529949004016614
10, 0.2360093382086259
10, 25.577860384810545
10, 11.734466636415249
10, 0.2415954915541639
10, 5.341114964653761
10, 4.759610323895194
10, 0.3130482292140303
10, 14.355835358084933
10, 5.3497208624024655
10, 4.2938386678500455
10, 17.63510503646673
10, 1.8273757118440486
10, 13.744884759245364
10, 4.72333615037057
10, 6.659737166359693
10, 0.6330705514288764
10, 4.237271698377703
10, 7.045857188890093
10, 8.704909274875057
10, 16.99319401274212
10, 23.174091941314167
10, 14.760171363193315
10, 9.252765601894508
10, 3.870635099372703
10, 0.160049213628582
10, 4.581239356767136
10, 14.644340802074547
10, 16.15548621264063
10, 51.72690923835014
10, 4.354280818316036
10, 11.627514501742482
10, 9.277231024189199
10, 0.4155964602921603
10, 14.81373062636304
10, 4.254719402466792
10, 1.2422487773637971
10, 5.513532170140718
10, 8.446532166566778
10, 122.55157065537686
10, 2.683763079766915
10, 6.632792633427853
10, 13.05778725662906
10, 22.096988057367305
10, 9.295679920796188
10, 4.26235518061108
10, 3.8245243941997407
10, 2.6653269117442235
10, 5.471302659935589
10, 6.041452612129625
10, 7.883375382575476
10, 26.432287311871644
10, 16.37024624642251
10, 24.897778852053325
10, 40.11658649771451
10, 4.850878145847347
10, 15.017954454732147
10, 15.992667415258648
10, 4.350940610629777
10, 47.50151237962494
10, 14.956797447775658
10, 8.756926768709778
10, 2.626267963010906
10, 4.805320400784493
10, 1.3989970744662468
10, 3.788157469207013
10, 0.397119166292612
10, 5.8278347971058615
10, 31.86220667165163
10, 3.414985186378886
10, 5.968981264056496
10, 10.674095957466987
10, 2.7836004996164
10, 21.32669840049069
10, 1.1932668059051195
10, 2.094313706011283
10, 12.930436827029506
10, 13.742918229998892
10, 1.3819826004504177
10, 1.5569042743077548
10, 5.28792246517495
10, 38.12770680818837
10, 15.490357519819202
10, 12.44293744843515
10, 4.912753678789816
10, 7.5599025003322
10, 0.5557790214283086
100, 5.1087665185140745
100, 6.8112439578685535
100, 5.817120792029361
100, 7.424680765027469
100, 8.22522278955054
100, 9.697435728569015
100, 8.076907826034127
100, 7.513531834134961
100, 4.289734247748202
100, 8.300701310482292
100, 5.911353538053094
100, 5.2794425436479635
100, 3.7042921072294654
100, 5.688237781805407
100, 10.198258956599059
100, 8.222935301712443
100, 5.259026583042166
100, 4.147340865706207
100, 9.012026878473375
100, 4.264327565563533
100, 6.203937814804308
100, 4.330866357255679
100, 5.3723500497043135
100, 4.321436757773343
100, 6.692232912969111
100, 7.297574527754063
100, 5.78266489162488
100, 4.036185123260227
100, 5.830132731976113
100, 6.312416067097265
100, 6.357380303781705
100, 6.524039745363791
100, 8.345936752233381
100, 6.042345002217731
100, 7.155189580200151
100, 7.872394694994227
100, 8.905966901542032
100, 9.669310398727012
100, 11.55882109994385
100, 3.8957573736200155
100, 8.628749282610983
100, 3.2906341388197986
100, 6.793539718574154
