n, mse
10, 1.3123193483868012
10, 4.52139021420864
10, 28.46924718090296
10, 8.999811089374099
10, 5.6423528483814795
10, 12.941600391527363
10, 13.223150412813705
10, 34.912073730710944
10, 66.89922922638515
10, 3.382432582442884
10, 19.595720710102363
10, 29.216002165474215
10, 0.460049368206368
10, 0.9227142860791356
10, 3.1061720412373846
10, 2.766322147983595
10, 27.824753578803403
10, 38.42827560426409
10, 5.308400230208482
10, 23.905357562535865
10, 6.09482954981597
10, 8.80629366295745
10, 28.450656128098878
10, 35.365933413268856
10, 3.13802009931105
10, 402.58232222287546
10, 2.986905138017963
10, 9.436619636806748
10, 4.348536335705579
10, 11.581226000797578
10, 4.879363480994705
10, 7.603221985404406
10, 41.416803765269066
10, 24.224095137164614
10, 0.6336787086905008
10, 18.850772968422483
10, 20.491385618340637
10, 4.499537678725475
10, 2.2360095505398574
10, 7.561519904164239
10, 2.2960488748900527
10, 6.0263715541465
10, 7.833436431487286
10, 4.740886915295465
10, 162.1429083187943
10, 5.68678165916847
10, 12.910249409236942
10, 5.604029446087968
10, 8.32928911441179
10, 9.698094556246057
10, 8.378171483407819
10, 2.239355113063608
10, 18.141607807616825
10, 3.391523470548731
10, 37.14637897041624
10, 16.787248412181142
10, 4.446223217305833
10, 1.3252000755804312
10, 0.44795406095935
10, 3.510220207504825
10, 0.5109946489839201
10, 112.5191859346083
10, 13.23318725362362
10, 2.996821718963935
10, 35.84301962001833
10, 0.9445925859254374
10, 6.009719990230935
10, 0.4470828385843052
10, 12.937385995532036
10, 45.79577395187848
10, 5.771678616953869
10, 14.041083925498661
10, 27.334214097703892
10, 1.958381945236916
10, 19.274879433947653
10, 3.26890760690163
10, 8.47259137099511
10, 0.4324688695736455
10, 11.442262123082662
10, 8.025603316994054
10, 6.5353349045048805
10, 5.978964898458337
10, 21.454773153152324
10, 0.6852695938025595
10, 29.935406046278366
10, 4.902110147673589
10, 4.7398569405087825
10, 4.982255918728295
10, 7.959443498899973
10, 3.2202235662477703
10, 5.753960212146711
10, 5.365150737307065
10, 20.61206082019891
10, 2.5356012613894046
10, 1.3933461861319634
10, 2.0785949592740036
10, 6.388429364206879
10, 42.418268984405685
10, 8.709517284791072
10, 2.320930456057389
100, 5.668023166332525
100, 3.844620553845522
100, 2.2769908141972666
100, 3.7193218957197076
100, 3.9753679093955676
100, 2.083463591805566
100, 6.817727286292718
100, 7.928938327229366
100, 7.64273949838765
100, 2.8853454166102184
100, 6.327771429577474
100, 10.189573338780443
100, 7.1962979415484964
100, 5.076828036567409
100, 3.6073582285690926
100, 2.7515037814658045
100, 6.650922807054968
100, 4.717410881113537
100, 3.0821574494183688
100, 5.316735061070426
100, 4.738112655290539
100, 4.188595868015054
100, 2.0026422278302536
100, 5.42398026013803
100, 4.061730808854209
100, 5.243795219458187
100, 1.853633342269107
100, 8.341024372799739
100, 4.5309312201727705
100, 8.085311356339881
100, 8.857209711960065
100, 2.3766058893622883
100, 2.907511337642228
100, 3.883317754878783
100, 4.528788696640166
100, 3.429393698088737
100, 3.7726647793761017
100, 6.01990677633314
100, 6.15853920572621
100, 5.443129996582102
100, 4.866258492225004
100, 7.179478901056745
100, 9.698628326261069
100, 6.744535164390918
100, 4.3745626106337605
100, 6.722540860214302
100, 4.810060585642854
100, 5.199109821520322
100, 3.4027692485098435
100, 5.861414115647388
100, 4.396028864300509
100, 7.635294407199081
100, 3.0550861085364995
100, 5.81894251319797
100, 2.6374522019612434
100, 4.785281839301797
100, 3.5863464284032616
100, 2.6971158219296134
100, 4.504047588847742
100, 4.331843381774037
100, 10.937012412573994
100, 4.909623509660841
100, 3.2782033932344157
100, 3.680223003963982
100, 5.410827236197894
100, 3.296802686179922
100, 4.931062032454292
100, 4.163725883079964
100, 5.054351181779238
100, 3.9282107831536175
100, 5.8196099603845575
100, 3.5686902905736217
100, 6.331444084271977
100, 6.168228823871369
100, 7.670954192312439
100, 7.075535596865119
