n, mse
10, 13.435696898214381
10, 308.2173706475996
10, 242.22243030735874
10, 6.163499652095798
10, 5.272489959826945
10, 1683.7273892285357
10, 71.17348891871934
10, 138.72636421745958
10, 926.7863988297671
10, 8.668672344323578
10, 607.7620482285307
10, 79.27169836817556
10, 6.309018433506129
10, 14.959108489861263
10, 16.387394581166323
10, 471.8764707346936
10, 2181.04940007176
10, 6697.967160873272
10, 4.661695274890233
10, 691.7029593580306
10, 78.14363494786755
10, 22854.02850744122
10, 129.47221437366167
10, 1.439969373606724
10, 614.8768606964917
10, 13707.776238819933
10, 82.96510514312075
10, 3604.4257770950544
10, 382.37744104633066
10, 2.6647991628722445
10, 1853.6590185902314
10, 56.73348348867985
10, 182.00280948907408
10, 81.73427565967917
10, 2582.405058912001
10, 450.5914875183896
10, 15.333701740112861
10, 82.58674732597306
10, 7.794174768566277
10, 4419.948521307957
10, 8549.755669275264
10, 10.250121858549843
10, 24.72369671866216
10, 21.72352600406949
10, 1238.0473421549523
10, 34.31967820735294
10, 0.4296023052259792
10, 9.930935060092587
10, 5.165052062062658
10, 6808.371998558769
10, 82966.42603457956
10, 4.949815319522461
10, 1019.5800036969176
10, 105.64269943751887
10, 6.98546424077224
10, 68627.13093859529
10, 1.2547364236895253
10, 2.652819263696804
10, 327.0719888988315
10, 7092.333703149871
10, 1732.3355903643599
10, 1534.5478002155699
10, 59.05466373701498
10, 403.6884724867645
10, 240.86942952507363
10, 9.270297251133774
10, 66.06210607900823
10, 8.408745585168761
10, 12.625335156145608
10, 42.410621178676344
10, 19.253879844788806
10, 120.704169704055
10, 6142.81589219369
10, 9.132241431474597
10, 11.586690636629406
10, 77.23669412109334
10, 46117.10378423378
10, 7.871168054968378
10, 40219.08934235351
10, 79.65685944605147
10, 865.5261867064418
10, 3446.0177290905485
10, 1866.2227255689672
10, 1.5586042434938137
10, 206.24274068838133
10, 10.553102884156782
10, 4.302786095304227
10, 1092.3807077590636
10, 741.1327153385002
10, 12.500332671992961
10, 1440.2002986793673
10, 49.91241650207927
10, 0.5003441580459276
10, 13.254426009852546
10, 6300.710565123162
10, 60.79241743100416
10, 34.842016643578816
10, 0.36364146948709886
10, 3.194096741611068
10, 1856.2296764449272
100, 3.633018882881651
100, 24.443707636362614
100, 7.580189703349353
100, 4.517982850675521
100, 3.9570698875005617
100, 5.495758523528546
100, 8.563843126908534
100, 13.002087606798373
100, 7.675521443929545
100, 4.4168350749198115
100, 4.180423569650647
100, 3.711139422700408
100, 5.64954944728885
100, 7.498804132507702
100, 3.5651575611911985
100, 8.330254017523819
100, 6.326673793293233
100, 6.92305147170527
100, 3.8617687992556347
100, 4.641648763698285
100, 13.20114558575656
100, 5.365705896572091
100, 3.980017357341141
100, 6.123052462126606
100, 3.960459976141356
100, 5.801415461371954
100, 3.1463822366425704
100, 4.078347077197426
100, 6.968245852881242
100, 5.66710437227044
100, 4.530053063153269
100, 3.917462047457937
100, 2.75293594033139
100, 8.277961285483874
100, 5.670949670281774
100, 9.194384556361443
100, 4.0741389904899385
100, 1.4199749366966803
100, 3.5254733293948464
100, 2.7718318262406516
100, 4.586330067957026
100, 2.7852516093271062
100, 4.331570819942443
100, 4.975662600521561
100, 5.070582241717559
